mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
VIVO4-FEC-AUG11-F9-k141_12398	19258	518	26.89791255582096	7.574699512846132	VIVO4-FEC-AUG11-F9-bin_13	2260378	56691	25.080318424617474	5370	0.0021281427310092336	98	0.002251302334086369	1.0578718716947755	0.3020176771524248	0.007454207168642526	3.5026819677209815
VIVO4-FEC-AUG11-F9-k141_12835	14815	1050	70.87411407357408	48.79857034573953	VIVO4-FEC-AUG11-F9-bin_5	4305638	426483	99.05221943879165	59458	0.006498215693166962	420	0.006584307744736002	1.013248567858338	0.4926549917025749	0.013364946779451436	2.056710243321873
VIVO4-FEC-AUG11-F9-k141_4927	13920	331	23.778735632183906	6.809872645836706	VIVO4-FEC-AUG11-F9-bin_13	2260378	56691	25.080318424617474	5370	0.0021281427310092336	61	0.0019386951687045163	0.9109798607281969	0.27152257521389783	0.007140088322959028	3.3550796283165503
VIVO4-FEC-AUG11-F9-k141_1690	35153	14351	408.24396210849716	89.50939044987547	VIVO4-FEC-AUG11-F9-bin_4	4338463	241760	55.724803922495134	28881	0.0030186510775461863	1765	0.011573012376849903	3.833835736410258	1.606275556830485	0.007204873614391455	2.3867858289366066
VIVO4-FEC-AUG11-F9-k141_17599	10906	59	5.409866128736476	2.704933064368238	VIVO4-FEC-AUG11-F9-bin_3	4460647	29354	6.580659711472349	3253	0.00033034869261410523	12	0.00024667088765312504	0.7466985435939718	0.41104284113834527	0.000600109922775915	1.816595422331305
VIVO4-FEC-AUG11-F9-k141_12916	51142	12563	245.64936842516914	58.349869873936065	VIVO4-FEC-AUG11-F9-bin_6	4178701	1438319	344.20242080014816	109246	0.012604788720615833	1791	0.008380628334582065	0.6648765417920159	0.1695219625076819	0.04943682936777172	3.922067276456212
VIVO4-FEC-AUG11-F9-k141_8295	5896	507	85.99050203527815	39.90719431471472	VIVO4-FEC-AUG11-F9-bin_17	1508546	94550	62.67624586853832	9289	0.00820111580386839	84	0.009444158204501538	1.1515699119925629	0.6367196018475477	0.014832523102944757	1.808598178305005
VIVO4-FEC-AUG11-F9-k141_21613	9053	12058	1331.93416547001	770.0088829230868	VIVO4-FEC-AUG11-F9-bin_1	8350324	35496127	4250.8682297836585	5798131	0.1676651902756774	3867	0.05115384990928013	0.30509523071051464	0.18114155539520813	0.28239709986852274	1.6842917686384489
VIVO4-FEC-AUG11-F9-k141_13601	5028	67	13.325377883850438	6.415922684816877	VIVO4-FEC-AUG11-F9-bin_7	3923951	48594	12.383946690465809	5430	0.000718197873367554	13	0.0006589075862418083	0.9174457495289705	0.5180838423469949	0.001271816513823055	1.7708441656331304
VIVO4-FEC-AUG11-F9-k141_22991	5191	403	77.63436717395493	46.0344488770185	VIVO4-FEC-AUG11-F9-bin_5	4305638	426483	99.05221943879165	59458	0.006498215693166962	118	0.005279508155193117	0.8124550498907959	0.46474929222020145	0.011359905746110633	1.7481576916654
