protein	scaffold	AMG KO	AMG KO name	Pfam	Pfam name
metaspades_NG-14253_917T10_lib223965_5684_NODE_62_length_5068_cov_11.6469_4	metaspades_NG-14253_917T10_lib223965_5684_NODE_62_length_5068_cov_11.6469	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_922T8_lib221223_5627_NODE_5527_length_5347_cov_11.3706_3	metaspades_NG-14069_922T8_lib221223_5627_NODE_5527_length_5347_cov_11.3706	K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	PF01808.18	AICARFT/IMPCHase bienzyme
metaspades_NG-14069_919T8_lib221220_5627_NODE_13515_length_3997_cov_4.20015_5	metaspades_NG-14069_919T8_lib221220_5627_NODE_13515_length_3997_cov_4.20015	K01886	"QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]"	PF00749.21	"tRNA synthetases class I (E and Q), catalytic domain"
metaspades_NG-14069_919T8_lib221220_5627_NODE_11665_length_4543_cov_16.5829_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_11665_length_4543_cov_16.5829	K00791	"miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]"	PF01715.17	IPP transferase
metaspades_NG-13040_916T2L_lib194712_5429_NODE_320_length_8858_cov_4.33534_4	metaspades_NG-13040_916T2L_lib194712_5429_NODE_320_length_8858_cov_4.33534	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-15813_GD3A_lib254057_5916_NODE_164_length_16536_cov_13.3087_11	metaspades_NG-15813_GD3A_lib254057_5916_NODE_164_length_16536_cov_13.3087	K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]	PF01738.18	Dienelactone hydrolase family
metaspades_NG-14069_925T8_lib221226_5627_NODE_385_length_56843_cov_11.9039_16	metaspades_NG-14069_925T8_lib221226_5627_NODE_385_length_56843_cov_11.9039	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
metaspades_NG-14069_925T8_lib221226_5627_NODE_385_length_56843_cov_11.9039_90	metaspades_NG-14069_925T8_lib221226_5627_NODE_385_length_56843_cov_11.9039	K01915	"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"	PF12437.8	Glutamine synthetase type III N terminal
metaspades_NG-15813_GD3_lib254042_5916_NODE_198_length_11517_cov_6.04929_1	metaspades_NG-15813_GD3_lib254042_5916_NODE_198_length_11517_cov_6.04929	K20170	nicA1; nicotine oxidoreductase [EC:1.5.3.-]	PF00078.27	Reverse transcriptase (RNA-dependent DNA polymerase)
metaspades_NG-14069_922T8_lib221223_5627_NODE_11289_length_3270_cov_6.26781_6	metaspades_NG-14069_922T8_lib221223_5627_NODE_11289_length_3270_cov_6.26781	K12251	aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]		
