Virus,AAI to closest RaFAH reference,Host genus,Confidence score,List of methods
VIVO4-FEC-AUG11-F9-k141_10054,89.82,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,92.90,blast;94.90 iPHoP-RF;81.40
VIVO4-FEC-AUG11-F9-k141_1040,20.93,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,93.80,blast;95.60 iPHoP-RF;70.40
VIVO4-FEC-AUG11-F9-k141_10515,13.67,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,94.20,blast;95.90 iPHoP-RF;75.40
VIVO4-FEC-AUG11-F9-k141_11068,14.13,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,94.50,blast;96.10 iPHoP-RF;83.10
VIVO4-FEC-AUG11-F9-k141_11611,81.58,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella,95.30,blast;96.70 iPHoP-RF;80.00
VIVO4-FEC-AUG11-F9-k141_11611,81.58,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A,94.00,blast;95.80 iPHoP-RF;78.70
VIVO4-FEC-AUG11-F9-k141_12058,28.83,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,95.60,blast;96.90 iPHoP-RF;90.10
VIVO4-FEC-AUG11-F9-k141_12058,28.83,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella,91.60,blast;93.90 iPHoP-RF;77.30
VIVO4-FEC-AUG11-F9-k141_12398,37.53,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Winkia,91.10,blast;93.50
VIVO4-FEC-AUG11-F9-k141_12806,5.11,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,95.60,blast;96.90 iPHoP-RF;72.80
VIVO4-FEC-AUG11-F9-k141_12835,15.51,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,90.60,blast;93.00 iPHoP-RF;78.30 CRISPR;58.00
VIVO4-FEC-AUG11-F9-k141_12916,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,100.00,RaFAH;97.80 CRISPR;97.00 blast;96.90 iPHoP-RF;87.60
VIVO4-FEC-AUG11-F9-k141_13268,16.96,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,96.90,CRISPR;97.80 blast;96.70 iPHoP-RF;82.80
VIVO4-FEC-AUG11-F9-k141_13548,65.28,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,95.30,blast;96.70 iPHoP-RF;70.00
VIVO4-FEC-AUG11-F9-k141_13601,66.12,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,100.00,RaFAH;99.60 blast;96.90 iPHoP-RF;95.10
VIVO4-FEC-AUG11-F9-k141_14642,5.46,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,95.00,blast;96.50 iPHoP-RF;94.10
VIVO4-FEC-AUG11-F9-k141_15204,73.03,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella,94.90,blast;96.40 iPHoP-RF;90.50
VIVO4-FEC-AUG11-F9-k141_15220,98.75,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,99.90,blast;96.90 iPHoP-RF;96.70 RaFAH;96.20 CRISPR;50.10
VIVO4-FEC-AUG11-F9-k141_1589,74.04,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,100.00,RaFAH;99.40 iPHoP-RF;97.10 blast;96.90 CRISPR;51.20
VIVO4-FEC-AUG11-F9-k141_1690,24.97,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium,94.50,CRISPR;96.10 blast;94.00 iPHoP-RF;90.80
VIVO4-FEC-AUG11-F9-k141_17599,62.39,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella,92.60,blast;94.70 iPHoP-RF;74.60
VIVO4-FEC-AUG11-F9-k141_17599,62.39,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia,90.00,blast;92.50
VIVO4-FEC-AUG11-F9-k141_17627,99.59,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,94.20,blast;95.90 iPHoP-RF;88.90
VIVO4-FEC-AUG11-F9-k141_17966,60.66,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,98.80,blast;96.20 RaFAH;87.50 iPHoP-RF;84.20
VIVO4-FEC-AUG11-F9-k141_19232,34.31,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,95.90,blast;97.10 iPHoP-RF;87.30
VIVO4-FEC-AUG11-F9-k141_19604,7.18,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,93.50,blast;95.40 iPHoP-RF;72.20
